;Person;Age;Gender;Group;Container_1;Container_2;Container_3;Container_4;Container_5;Container_6;Container_7;Container_8;Container_9;Container_10;Mean_serial;Mean_questions;Question_1;Question_2;Question_3;Question_4;Question_5;Question_6;Question_7;Question_8;Question_9;Question_10;Question_11;Question_12;Question_13;Question_14;Question_15;Question_16;Question_17;Question_18
20;20;23;male;2;0.865;0.897;0.851;0.727;0.834;0.855;0.824;0.873;0.799;0.876;0.84;0.849;0.631;0.5;0.883;0.949;0.964;0.907;0.854;0.932;0.975;1;0.687;0.929;0.714;0.918;0.726;0.895;0.955;0.868
21;21;32;female;1;0.708;0.811;0.781;0.866;0.828;0.819;0.867;0.787;0.791;0.954;0.821;0.821;0.684;0.75;0.722;0.939;0.879;0.829;0.926;0.789;0.94;0.918;0.674;0.911;0.835;0.718;0.645;0.805;0.909;0.906
22;22;33;female;2;0.725;0.623;0.682;0.741;0.82;0.842;0.791;0.792;0.87;0.752;0.764;0.769;0.588;0.5;0.811;0.839;0.861;0.885;0.792;0.764;0.773;0.822;0.573;0.836;0.685;0.829;0.631;0.853;0.955;0.846
23;23;31;male;1;0.671;0.815;0.789;0.912;0.906;0.841;0.77;0.89;0.799;0.875;0.827;0.834;0.674;0.375;0.784;0.917;0.939;0.87;0.925;0.864;0.902;0.918;0.706;0.929;0.939;0.798;0.797;0.86;0.899;0.906
24;24;23;female;2;0.697;0.767;0.792;0.833;0.735;0.811;0.773;0.808;0.732;0.71;0.766;0.776;0.646;0.25;0.871;0.863;0.832;0.865;0.879;0.654;0.933;0.936;0.573;0.957;0.86;0.789;0.692;0.823;0.854;0.697
25;25;20;male;1;0.694;0.732;0.763;0.738;0.831;0.851;0.861;0.844;0.742;0.724;0.778;0.785;0.567;0.625;0.833;0.885;0.8;0.746;0.917;0.854;0.908;0.918;0.58;0.857;0.871;0.801;0.664;0.843;0.753;0.718
26;26;25;female;2;0.851;0.843;0.9;0.879;0.946;0.924;0.875;0.762;0.822;0.979;0.878;0.882;0.742;0.625;0.901;0.939;0.964;0.844;0.975;0.804;0.932;0.982;0.727;0.911;0.969;0.894;0.832;0.937;0.955;0.944
27;27;20;male;1;0.672;0.7;0.859;0.739;0.794;0.752;0.808;0.743;0.805;0.724;0.76;0.764;0.61;0.5;0.768;0.816;0.854;0.833;0.684;0.821;0.838;0.654;0.647;0.854;0.849;0.814;0.727;0.894;0.753;0.829
28;28;26;male;2;0.664;0.619;0.806;0.734;0.736;0.81;0.795;0.791;0.72;0.864;0.754;0.754;0.568;0.5;0.774;0.747;0.843;0.882;0.783;0.789;0.837;0.694;0.564;0.879;0.792;0.817;0.67;0.825;0.808;0.795
29;29;18;female;1;0.726;0.775;0.777;0.8;0.763;0.809;0.832;0.836;0.777;0.646;0.774;0.793;0.495;0.5;0.804;0.942;0.879;0.79;0.883;0.771;0.918;0.964;0.603;0.896;0.917;0.784;0.596;0.895;0.843;0.791
30;30;19;female;2;0.565;0.65;0.649;0.696;0.61;0.571;0.606;0.685;0.792;0.688;0.651;0.657;0.498;0.125;0.472;0.791;0.693;0.579;0.69;0.864;0.674;0.708;0.699;0.804;0.828;0.513;0.549;0.565;0.899;0.885
31;31;18;female;1;0.703;0.772;0.882;0.933;0.836;0.93;0.93;0.933;0.788;0.901;0.861;0.873;0.638;0.625;0.906;0.95;0.85;0.853;0.917;0.829;1;0.961;0.773;0.964;0.942;0.892;0.819;0.93;0.955;0.906
32;32;22;female;2;0.741;0.764;0.793;0.856;0.86;0.912;0.84;0.841;0.933;0.902;0.844;0.834;0.867;0.625;0.809;0.942;0.929;0.707;0.907;0.864;0.865;0.943;0.725;0.946;0.892;0.713;0.822;0.68;0.955;0.829
33;33;24;female;1;0.736;0.753;0.813;0.798;0.763;0.739;0.833;0.862;0.799;0.766;0.786;0.797;0.608;0.5;0.768;0.843;0.946;0.747;0.833;0.804;0.837;0.979;0.638;0.929;0.867;0.693;0.696;0.901;0.899;0.868
34;34;22;male;2;0.665;0.738;0.742;0.791;0.778;0.807;0.833;0.806;0.844;0.761;0.777;0.781;0.638;0.375;0.895;0.687;0.886;0.864;0.801;0.796;0.881;0.905;0.639;0.939;0.711;0.762;0.666;0.886;0.899;0.829
35;35;20;female;1;0.546;0.711;0.75;0.755;0.733;0.721;0.708;0.816;0.623;0.678;0.704;0.718;0.533;0.25;0.743;0.702;0.868;0.748;0.842;0.764;0.776;0.869;0.537;0.85;0.967;0.711;0.56;0.752;0.662;0.791
36;36;18;female;2;0.666;0.731;0.792;0.723;0.717;0.647;0.678;0.8;0.705;0.681;0.714;0.726;0.502;0.375;0.759;0.754;0.718;0.794;0.79;0.796;0.911;0.883;0.506;0.875;0.705;0.69;0.639;0.813;0.697;0.868
37;37;27;female;1;0.735;0.681;0.703;0.759;0.836;0.808;0.808;0.815;0.816;0.724;0.769;0.773;0.544;0.5;0.923;0.882;0.889;0.785;0.845;0.721;0.905;0.926;0.473;0.904;0.793;0.678;0.685;0.886;0.753;0.829
38;38;19;female;2;0.733;0.762;0.727;0.751;0.744;0.714;0.68;0.737;0.892;0.724;0.746;0.747;0.606;0.125;0.794;0.908;0.846;0.731;0.821;0.704;0.89;0.911;0.544;0.886;0.874;0.653;0.599;0.825;0.843;0.885
39;39;20;female;1;0.74;0.608;0.776;0.731;0.77;0.793;0.742;0.756;0.816;0.865;0.76;0.75;0.778;0.5;0.74;0.889;0.843;0.772;0.73;0.839;0.749;0.8;0.459;0.957;0.914;0.747;0.51;0.631;0.808;0.829
40;40;19;female;2;0.6;0.573;0.617;0.59;0.711;0.587;0.674;0.665;0.605;0.595;0.622;0.633;0.426;0.25;0.686;0.813;0.739;0.756;0.621;0.454;0.834;0.783;0.471;0.782;0.746;0.569;0.521;0.587;0.707;0.658
41;41;18;female;1;0.768;0.69;0.742;0.7;0.665;0.715;0.674;0.726;0.616;0.699;0.699;0.716;0.465;0.375;0.703;0.907;0.857;0.637;0.722;0.754;0.834;0.889;0.446;0.886;0.885;0.676;0.552;0.765;0.763;0.774
42;42;19;female;2;0.702;0.716;0.856;0.761;0.811;0.837;0.83;0.812;0.906;0.877;0.811;0.804;0.618;0.375;0.863;0.942;0.957;0.801;0.889;0.821;0.92;0.943;0.525;0.964;0.854;0.828;0.633;0.788;0.909;0.846
43;43;20;female;1;0.763;0.751;0.793;0.873;0.793;0.836;0.808;0.765;0.836;0.906;0.812;0.814;0.654;0.375;0.882;0.792;0.8;0.889;0.875;0.914;0.957;0.957;0.592;0.964;0.79;0.77;0.644;0.936;0.909;0.944
44;44;18;female;2;0.76;0.828;0.823;0.854;0.748;0.868;0.89;0.871;0.859;0.761;0.826;0.837;0.622;0.625;0.825;0.933;0.896;0.886;0.861;0.871;0.933;0.911;0.606;0.957;0.926;0.883;0.72;0.834;0.899;0.885
45;45;18;male;1;0.623;0.674;0.761;0.713;0.747;0.822;0.675;0.858;0.888;0.812;0.758;0.755;0.623;0.375;0.875;0.832;0.829;0.821;0.638;0.864;0.805;0.768;0.537;0.929;0.784;0.653;0.64;0.808;0.899;0.906
46;46;24;female;2;0.709;0.792;0.735;0.748;0.836;0.764;0.876;0.845;0.822;0.693;0.782;0.791;0.753;0.5;0.866;0.813;0.682;0.822;0.724;0.739;0.88;0.883;0.705;0.871;0.816;0.785;0.843;0.888;0.843;0.829
47;47;18;female;1;0.715;0.688;0.675;0.619;0.735;0.612;0.618;0.775;0.785;0.776;0.7;0.694;0.726;0.25;0.772;0.715;0.829;0.728;0.421;0.886;0.617;0.707;0.716;0.621;0.591;0.72;0.802;0.781;0.843;0.774
48;48;18;female;2;0.641;0.683;0.799;0.83;0.698;0.787;0.746;0.855;0.852;0.803;0.769;0.776;0.567;0.5;0.715;0.885;0.889;0.747;0.797;0.743;0.755;0.901;0.621;0.879;0.827;0.812;0.599;0.856;1;0.868
49;49;22;female;1;0.742;0.771;0.951;0.858;0.809;0.855;0.82;0.813;0.889;0.849;0.836;0.844;0.678;0.5;0.866;0.935;0.964;0.863;0.969;0.854;0.907;0.982;0.59;0.964;0.942;0.788;0.638;0.789;1;0.962
50;50;22;female;2;0.762;0.649;0.784;0.754;0.752;0.723;0.853;0.655;0.732;0.761;0.743;0.751;0.518;0.25;0.863;0.881;0.871;0.74;0.865;0.854;0.812;0.964;0.526;0.929;0.842;0.712;0.475;0.788;0.854;0.774
51;51;20;female;1;0.746;0.793;0.822;0.855;0.85;0.824;0.887;0.875;0.944;0.928;0.852;0.847;0.806;0.25;0.739;1;0.857;0.924;0.925;0.736;0.958;0.858;0.731;0.982;0.925;0.835;0.915;0.88;1;0.923
52;52;22;male;2;0.69;0.69;0.752;0.783;0.719;0.744;0.761;0.748;0.724;0.601;0.721;0.728;0.671;0.25;0.872;0.817;0.879;0.744;0.857;0.8;0.741;0.868;0.555;0.846;0.728;0.74;0.649;0.752;0.53;0.812
53;53;18;female;1;0.719;0.827;0.728;0.772;0.709;0.679;0.72;0.732;0.668;0.812;0.737;0.747;0.472;0.375;0.734;0.901;0.85;0.781;0.879;0.854;0.833;0.921;0.422;0.921;0.885;0.756;0.491;0.716;0.808;0.85
54;54;18;female;2;0.667;0.721;0.743;0.663;0.776;0.749;0.798;0.805;0.691;0.623;0.724;0.743;0.49;0.375;0.697;0.859;0.914;0.76;0.731;0.807;0.813;0.861;0.592;0.861;0.854;0.726;0.657;0.826;0.687;0.868
55;55;18;female;1;0.809;0.881;0.912;0.937;0.908;0.962;0.964;0.926;1;1;0.93;0.924;0.864;0.625;0.973;0.959;0.982;0.99;0.926;0.932;0.979;0.975;0.811;0.964;0.919;0.899;0.852;0.981;1;1
56;56;18;female;2;0.729;0.692;0.756;0.826;0.85;0.808;0.851;0.783;0.799;0.781;0.787;0.795;0.635;0.375;0.844;0.834;0.921;0.819;0.863;0.829;0.979;0.911;0.573;0.911;0.836;0.833;0.661;0.77;0.843;0.868
57;57;18;female;1;0.717;0.606;0.714;0.627;0.697;0.631;0.666;0.731;0.638;0.854;0.688;0.694;0.485;0.25;0.744;0.679;0.8;0.746;0.578;0.643;0.915;0.861;0.509;0.854;0.717;0.651;0.58;0.775;0.818;0.889
58;58;18;female;2;0.709;0.665;0.666;0.669;0.801;0.6;0.812;0.778;0.868;0.949;0.752;0.733;0.764;0.5;0.622;0.624;0.882;0.748;0.62;0.771;0.79;0.726;0.784;0.754;0.53;0.796;0.809;0.734;0.818;0.923
59;59;18;female;1;0.713;0.772;0.778;0.819;0.866;0.808;0.854;0.854;0.852;0.958;0.827;0.828;0.632;0.5;0.704;0.921;0.836;0.931;0.799;0.882;0.958;0.94;0.639;0.964;0.895;0.84;0.694;0.827;1;0.944
60;60;18;female;2;0.782;0.709;0.783;0.73;0.713;0.845;0.792;0.805;0.787;0.849;0.779;0.787;0.497;0.375;0.756;0.892;0.939;0.808;0.967;0.882;0.911;0.847;0.495;0.896;0.926;0.783;0.564;0.811;0.864;0.962
61;61;21;male;1;0.719;0.738;0.841;0.772;0.808;0.815;0.831;0.894;0.806;0.812;0.804;0.814;0.601;0.5;0.848;0.914;0.914;0.754;0.959;0.864;0.823;0.954;0.594;0.964;0.894;0.826;0.685;0.744;0.854;0.962
62;62;19;male;2;0.718;0.752;0.805;0.819;0.816;0.774;0.825;0.74;0.851;0.802;0.79;0.796;0.623;0.25;0.857;0.906;0.879;0.868;0.824;0.754;0.954;0.943;0.528;0.964;0.833;0.79;0.668;0.871;0.854;0.962
63;63;18;female;1;0.745;0.852;0.723;0.839;0.921;0.822;0.848;0.885;0.944;0.928;0.851;0.846;0.716;0.375;0.959;0.982;0.861;0.891;0.95;0.939;0.893;0.943;0.6;0.921;0.878;0.896;0.593;0.912;1;0.923
64;64;18;female;2;0.582;0.756;0.711;0.687;0.755;0.677;0.729;0.734;0.679;0.704;0.701;0.712;0.507;0.25;0.726;0.829;0.829;0.733;0.876;0.821;0.713;0.846;0.464;0.818;0.728;0.795;0.628;0.703;0.808;0.735
65;65;18;female;1;0.697;0.799;0.78;0.752;0.741;0.662;0.75;0.815;0.822;0.838;0.765;0.769;0.587;0.375;0.687;0.771;0.829;0.82;0.747;0.811;0.83;0.908;0.635;0.889;0.763;0.817;0.766;0.77;0.899;0.944
